Command_PID	Feature	Value	Time
rsession:51770	CPU	0	10:23:26
rsession:51770	Memory	0	10:23:26
rsession:51770	CPU	0.067	10:23:27
rsession:51770	Memory	0.263668	10:23:27
rsession:51770	CPU	0	10:23:28
rsession:51770	Memory	0	10:23:28
